1,88
2,89
3,88
4,87
5,88
6,87
7,86
8,86
9,86
10,85
11,84
25,72
26,72
27,72
28,71
29,69
30,66
31,65
32,65
33,66
34,65
35,65
36,65
37,63
38,63
39,63
40,66
41,66
42,67
43,68
44,68
45,67
46,66
47,67
48,67
49,67
50,68
51,64
52,64
53,62
54,62
55,62
56,63
57,63
58,63
59,64
60,64
61,64
62,63
63,63
64,62
65,63
66,64
67,65
68,73
69,75
70,76
71,103
72,102
73,104
74,102
75,107
76,110
77,108
78,105
79,105
80,103
84,93
85,92
86,89
102,64
103,64
105,64
106,64
107,62
108,61
109,62
110,61
111,61
112,61
113,60
114,61
115,61
116,61
117,61
118,61
119,61
120,62
121,61
122,61
123,61
124,61
125,61
126,62
127,62
128,62
129,62
130,62
131,63
132,62
133,62
134,62
135,62
136,62
137,62
138,63
139,62
140,62
141,62
142,62
143,62
144,62
145,62
146,62
147,63
148,63
149,63
150,63
151,63
152,63
153,63
154,63
155,63
156,63
157,63
158,63
159,63
160,63
161,63
162,63
163,63
164,63
165,64
166,64
167,64
168,64
169,64
170,64
171,64
172,64
173,65
174,65
175,65
176,65
177,65
178,65
179,65
180,65
181,64
182,65
